FPR,TPR,AUC
0.0,0.0,0.9940864999999998
0.0,0.374,0.9940864999999998
0.0,0.44,0.9940864999999998
0.0,0.46,0.9940864999999998
0.0,0.475,0.9940864999999998
0.0,0.489,0.9940864999999998
0.0,0.495,0.9940864999999998
0.0,0.502,0.9940864999999998
0.0,0.51,0.9940864999999998
0.0,0.52,0.9940864999999998
0.0,0.527,0.9940864999999998
0.0,0.533,0.9940864999999998
0.0,0.536,0.9940864999999998
0.0,0.538,0.9940864999999998
0.0,0.546,0.9940864999999998
0.0,0.548,0.9940864999999998
0.0,0.549,0.9940864999999998
0.0,0.552,0.9940864999999998
0.0,0.554,0.9940864999999998
0.0,0.558,0.9940864999999998
0.0,0.559,0.9940864999999998
0.0,0.561,0.9940864999999998
0.0,0.562,0.9940864999999998
0.0,0.564,0.9940864999999998
0.0,0.566,0.9940864999999998
0.0,0.568,0.9940864999999998
0.0,0.571,0.9940864999999998
0.0,0.573,0.9940864999999998
0.0,0.576,0.9940864999999998
0.0,0.578,0.9940864999999998
0.0,0.58,0.9940864999999998
0.0,0.583,0.9940864999999998
0.0,0.584,0.9940864999999998
0.0,0.586,0.9940864999999998
0.0,0.589,0.9940864999999998
0.0,0.591,0.9940864999999998
0.0,0.594,0.9940864999999998
0.0,0.596,0.9940864999999998
0.0,0.6,0.9940864999999998
0.0,0.607,0.9940864999999998
0.0,0.609,0.9940864999999998
0.0,0.61,0.9940864999999998
0.00025,0.61,0.9940864999999998
0.00025,0.611,0.9940864999999998
0.00025,0.613,0.9940864999999998
0.00025,0.615,0.9940864999999998
0.00025,0.617,0.9940864999999998
0.00025,0.621,0.9940864999999998
0.00025,0.623,0.9940864999999998
0.00025,0.64,0.9940864999999998
0.0005,0.64,0.9940864999999998
0.0005,0.643,0.9940864999999998
0.0005,0.645,0.9940864999999998
0.0005,0.654,0.9940864999999998
0.0005,0.657,0.9940864999999998
0.0005,0.664,0.9940864999999998
0.00075,0.664,0.9940864999999998
0.00075,0.696,0.9940864999999998
0.001,0.696,0.9940864999999998
0.001,0.711,0.9940864999999998
0.00125,0.711,0.9940864999999998
0.00125,0.712,0.9940864999999998
0.0015,0.712,0.9940864999999998
0.0015,0.738,0.9940864999999998
0.00175,0.738,0.9940864999999998
0.00175,0.741,0.9940864999999998
0.0025,0.741,0.9940864999999998
0.0025,0.753,0.9940864999999998
0.00275,0.753,0.9940864999999998
0.00275,0.755,0.9940864999999998
0.003,0.755,0.9940864999999998
0.003,0.758,0.9940864999999998
0.00325,0.758,0.9940864999999998
0.00325,0.761,0.9940864999999998
0.0035,0.761,0.9940864999999998
0.0035,0.774,0.9940864999999998
0.00375,0.774,0.9940864999999998
0.00375,0.776,0.9940864999999998
0.004,0.776,0.9940864999999998
0.004,0.803,0.9940864999999998
0.00425,0.803,0.9940864999999998
0.00425,0.806,0.9940864999999998
0.0045,0.806,0.9940864999999998
0.0045,0.814,0.9940864999999998
0.00475,0.814,0.9940864999999998
0.00475,0.818,0.9940864999999998
0.005,0.818,0.9940864999999998
0.005,0.821,0.9940864999999998
0.00525,0.821,0.9940864999999998
0.00525,0.824,0.9940864999999998
0.0055,0.824,0.9940864999999998
0.0055,0.827,0.9940864999999998
0.00625,0.827,0.9940864999999998
0.00625,0.828,0.9940864999999998
0.0065,0.828,0.9940864999999998
0.0065,0.829,0.9940864999999998
0.00725,0.829,0.9940864999999998
0.00725,0.832,0.9940864999999998
0.0075,0.832,0.9940864999999998
0.0075,0.833,0.9940864999999998
0.008,0.833,0.9940864999999998
0.008,0.846,0.9940864999999998
0.00825,0.846,0.9940864999999998
0.00825,0.848,0.9940864999999998
0.0085,0.848,0.9940864999999998
0.0085,0.861,0.9940864999999998
0.00875,0.861,0.9940864999999998
0.00875,0.862,0.9940864999999998
0.009,0.862,0.9940864999999998
0.009,0.864,0.9940864999999998
0.00925,0.864,0.9940864999999998
0.00925,0.865,0.9940864999999998
0.00975,0.865,0.9940864999999998
0.00975,0.866,0.9940864999999998
0.0105,0.866,0.9940864999999998
0.0105,0.868,0.9940864999999998
0.01075,0.868,0.9940864999999998
0.01075,0.871,0.9940864999999998
0.011,0.871,0.9940864999999998
0.011,0.875,0.9940864999999998
0.01125,0.875,0.9940864999999998
0.01125,0.878,0.9940864999999998
0.0115,0.878,0.9940864999999998
0.0115,0.881,0.9940864999999998
0.012,0.881,0.9940864999999998
0.012,0.883,0.9940864999999998
0.01225,0.883,0.9940864999999998
0.01225,0.891,0.9940864999999998
0.01275,0.891,0.9940864999999998
0.01275,0.893,0.9940864999999998
0.013,0.893,0.9940864999999998
0.013,0.894,0.9940864999999998
0.01325,0.894,0.9940864999999998
0.01325,0.895,0.9940864999999998
0.014,0.895,0.9940864999999998
0.014,0.899,0.9940864999999998
0.0145,0.899,0.9940864999999998
0.0145,0.9,0.9940864999999998
0.01475,0.9,0.9940864999999998
0.01475,0.904,0.9940864999999998
0.01575,0.904,0.9940864999999998
0.01575,0.905,0.9940864999999998
0.016,0.905,0.9940864999999998
0.016,0.907,0.9940864999999998
0.01625,0.907,0.9940864999999998
0.01625,0.915,0.9940864999999998
0.017,0.915,0.9940864999999998
0.017,0.916,0.9940864999999998
0.01725,0.916,0.9940864999999998
0.01725,0.917,0.9940864999999998
0.0175,0.917,0.9940864999999998
0.0175,0.919,0.9940864999999998
0.01925,0.919,0.9940864999999998
0.01925,0.92,0.9940864999999998
0.0195,0.92,0.9940864999999998
0.0195,0.921,0.9940864999999998
0.01975,0.921,0.9940864999999998
0.01975,0.922,0.9940864999999998
0.02025,0.922,0.9940864999999998
