FPR,TPR,AUC
0.0,0.0,0.99987825
0.0,0.658,0.99987825
0.0,0.699,0.99987825
0.0,0.723,0.99987825
0.0,0.739,0.99987825
0.0,0.749,0.99987825
0.0,0.754,0.99987825
0.0,0.757,0.99987825
0.0,0.766,0.99987825
0.0,0.772,0.99987825
0.0,0.779,0.99987825
0.0,0.783,0.99987825
0.0,0.789,0.99987825
0.0,0.792,0.99987825
0.0,0.796,0.99987825
0.0,0.802,0.99987825
0.0,0.804,0.99987825
0.0,0.809,0.99987825
0.0,0.813,0.99987825
0.0,0.816,0.99987825
0.0,0.82,0.99987825
0.0,0.824,0.99987825
0.0,0.826,0.99987825
0.0,0.828,0.99987825
0.0,0.832,0.99987825
0.0,0.837,0.99987825
0.0,0.841,0.99987825
0.0,0.843,0.99987825
0.0,0.845,0.99987825
0.0,0.852,0.99987825
0.0,0.854,0.99987825
0.0,0.864,0.99987825
0.0,0.866,0.99987825
0.0,0.879,0.99987825
0.0,0.881,0.99987825
0.0,0.94,0.99987825
0.00025,0.94,0.99987825
0.00025,0.954,0.99987825
0.0005,0.954,0.99987825
0.0005,0.957,0.99987825
0.00075,0.957,0.99987825
0.00075,0.978,0.99987825
0.001,0.978,0.99987825
0.001,0.982,0.99987825
0.00125,0.982,0.99987825
0.00125,0.983,0.99987825
0.0015,0.983,0.99987825
0.0015,0.984,0.99987825
0.00175,0.984,0.99987825
0.00175,0.987,0.99987825
0.0025,0.987,0.99987825
0.0025,0.988,0.99987825
0.00275,0.988,0.99987825
0.00275,0.989,0.99987825
0.00325,0.989,0.99987825
0.00325,0.99,0.99987825
0.00425,0.99,0.99987825
0.00425,0.991,0.99987825
0.005,0.991,0.99987825
0.005,0.992,0.99987825
0.0055,0.992,0.99987825
0.0055,0.995,0.99987825
0.00725,0.995,0.99987825
0.00725,0.996,0.99987825
0.0075,0.996,0.99987825
0.0075,0.997,0.99987825
0.0085,0.997,0.99987825
0.0085,0.998,0.99987825
0.0155,0.998,0.99987825
0.0155,0.999,0.99987825
0.016,0.999,0.99987825
0.016,1.0,0.99987825
0.99025,1.0,0.99987825
1.0,1.0,0.99987825
