FPR,TPR,AUC
0.0,0.0,0.967607
0.0,0.002,0.967607
0.0,0.01,0.967607
0.0,0.011,0.967607
0.0,0.013,0.967607
0.0,0.016,0.967607
0.0,0.017,0.967607
0.0,0.019,0.967607
0.0,0.023,0.967607
0.0,0.026,0.967607
0.0,0.028,0.967607
0.0,0.03,0.967607
0.0,0.034,0.967607
0.0,0.035,0.967607
0.0,0.037,0.967607
0.0,0.04,0.967607
0.0,0.042,0.967607
0.0,0.043,0.967607
0.0,0.045,0.967607
0.0,0.05,0.967607
0.0,0.052,0.967607
0.0,0.055,0.967607
0.0,0.059,0.967607
0.0,0.072,0.967607
0.0,0.074,0.967607
0.0,0.075,0.967607
0.0,0.077,0.967607
0.0,0.079,0.967607
0.0,0.081,0.967607
0.0,0.083,0.967607
0.0,0.085,0.967607
0.0,0.087,0.967607
0.0,0.089,0.967607
0.0,0.094,0.967607
0.0,0.096,0.967607
0.0,0.1,0.967607
0.00025,0.1,0.967607
0.00025,0.101,0.967607
0.00025,0.103,0.967607
0.00025,0.114,0.967607
0.00025,0.116,0.967607
0.00025,0.128,0.967607
0.0005,0.128,0.967607
0.0005,0.218,0.967607
0.0005,0.22,0.967607
0.0005,0.231,0.967607
0.00075,0.231,0.967607
0.00075,0.234,0.967607
0.001,0.234,0.967607
0.001,0.236,0.967607
0.0015,0.236,0.967607
0.0015,0.253,0.967607
0.00175,0.253,0.967607
0.00175,0.263,0.967607
0.00225,0.263,0.967607
0.00225,0.264,0.967607
0.0025,0.264,0.967607
0.0025,0.274,0.967607
0.00275,0.274,0.967607
0.00275,0.284,0.967607
0.003,0.284,0.967607
0.003,0.286,0.967607
0.00325,0.286,0.967607
0.00325,0.291,0.967607
0.0035,0.291,0.967607
0.0035,0.298,0.967607
0.00375,0.298,0.967607
0.00375,0.326,0.967607
0.004,0.326,0.967607
0.004,0.363,0.967607
0.00425,0.363,0.967607
0.00425,0.372,0.967607
0.00475,0.372,0.967607
0.00475,0.381,0.967607
0.00525,0.381,0.967607
0.00525,0.393,0.967607
0.0055,0.393,0.967607
0.0055,0.397,0.967607
0.00575,0.397,0.967607
0.00575,0.414,0.967607
0.006,0.414,0.967607
0.006,0.428,0.967607
0.00675,0.428,0.967607
0.00675,0.431,0.967607
0.007,0.431,0.967607
0.007,0.437,0.967607
0.00725,0.437,0.967607
0.00725,0.447,0.967607
0.0075,0.447,0.967607
0.0075,0.461,0.967607
0.00775,0.461,0.967607
0.00775,0.466,0.967607
0.008,0.466,0.967607
0.008,0.468,0.967607
0.00825,0.468,0.967607
0.00825,0.472,0.967607
0.0085,0.472,0.967607
0.0085,0.473,0.967607
0.00875,0.473,0.967607
0.00875,0.474,0.967607
0.009,0.474,0.967607
0.009,0.484,0.967607
0.0095,0.484,0.967607
0.0095,0.486,0.967607
0.00975,0.486,0.967607
0.00975,0.49,0.967607
0.01,0.49,0.967607
0.01,0.494,0.967607
0.01025,0.494,0.967607
0.01025,0.5,0.967607
0.0105,0.5,0.967607
0.0105,0.501,0.967607
0.01075,0.501,0.967607
0.01075,0.504,0.967607
0.011,0.504,0.967607
0.011,0.52,0.967607
0.01125,0.52,0.967607
0.01125,0.524,0.967607
0.0115,0.524,0.967607
0.0115,0.525,0.967607
0.0125,0.525,0.967607
0.0125,0.529,0.967607
0.01275,0.529,0.967607
0.01275,0.53,0.967607
0.013,0.53,0.967607
0.013,0.533,0.967607
0.01325,0.533,0.967607
0.01325,0.543,0.967607
0.01375,0.543,0.967607
0.01375,0.544,0.967607
0.014,0.544,0.967607
0.014,0.545,0.967607
0.01425,0.545,0.967607
0.01425,0.547,0.967607
0.0145,0.547,0.967607
0.0145,0.552,0.967607
0.01475,0.552,0.967607
0.01475,0.555,0.967607
0.015,0.555,0.967607
0.015,0.556,0.967607
0.01525,0.556,0.967607
0.01525,0.557,0.967607
0.0155,0.557,0.967607
0.0155,0.56,0.967607
0.01575,0.56,0.967607
0.01575,0.569,0.967607
0.0165,0.569,0.967607
0.0165,0.574,0.967607
0.01675,0.574,0.967607
0.01675,0.575,0.967607
0.01725,0.575,0.967607
0.01725,0.577,0.967607
0.0175,0.577,0.967607
0.0175,0.578,0.967607
0.01775,0.578,0.967607
0.01775,0.579,0.967607
0.018,0.579,0.967607
0.018,0.58,0.967607
0.0185,0.58,0.967607
0.0185,0.59,0.967607
0.01875,0.59,0.967607
0.01875,0.593,0.967607
0.01925,0.593,0.967607
0.01925,0.594,0.967607
0.01975,0.594,0.967607
0.01975,0.596,0.967607
0.02,0.596,0.967607
0.02,0.599,0.967607
0.02025,0.599,0.967607
0.02025,0.603,0.967607
0.0205,0.603,0.967607
0.0205,0.604,0.967607
0.02075,0.604,0.967607
0.02075,0.609,0.967607
0.02125,0.609,0.967607
0.02125,0.613,0.967607
0.0215,0.613,0.967607
0.0215,0.617,0.967607
0.02225,0.617,0.967607
0.02225,0.619,0.967607
0.023,0.619,0.967607
0.023,0.625,0.967607
0.02325,0.625,0.967607
0.02325,0.632,0.967607
0.0235,0.632,0.967607
0.0235,0.635,0.967607
0.02375,0.635,0.967607
0.02375,0.636,0.967607
0.02425,0.636,0.967607
0.02425,0.637,0.967607
0.0245,0.637,0.967607
0.0245,0.638,0.967607
0.025,0.638,0.967607
0.025,0.642,0.967607
0.02525,0.642,0.967607
0.02525,0.643,0.967607
0.026,0.643,0.967607
0.026,0.644,0.967607
0.02625,0.644,0.967607
0.02625,0.646,0.967607
0.02675,0.646,0.967607
0.02675,0.653,0.967607
0.027,0.653,0.967607
0.027,0.655,0.967607
0.0275,0.655,0.967607
0.0275,0.656,0.967607
0.02775,0.656,0.967607
0.02775,0.657,0.967607
0.028,0.657,0.967607
0.028,0.658,0.967607
0.0285,0.658,0.967607
0.0285,0.659,0.967607
0.02875,0.659,0.967607
0.02875,0.661,0.967607
0.029,0.661,0.967607
0.029,0.666,0.967607
0.0295,0.666,0.967607
0.0295,0.671,0.967607
0.03025,0.671,0.967607
0.03025,0.672,0.967607
0.03175,0.672,0.967607
0.03175,0.674,0.967607
0.032,0.674,0.967607
0.032,0.675,0.967607
0.0325,0.675,0.967607
0.0325,0.686,0.967607
0.03275,0.686,0.967607
0.03275,0.687,0.967607
0.033,0.687,0.967607
0.033,0.688,0.967607
0.03325,0.688,0.967607
0.03325,0.69,0.967607
0.0335,0.69,0.967607
0.0335,0.691,0.967607
0.034,0.691,0.967607
0.034,0.692,0.967607
0.0345,0.692,0.967607
0.0345,0.693,0.967607
0.035,0.693,0.967607
0.035,0.695,0.967607
0.03525,0.695,0.967607
0.03525,0.699,0.967607
0.03575,0.699,0.967607
0.03575,0.702,0.967607
0.036,0.702,0.967607
0.036,0.703,0.967607
0.0365,0.703,0.967607
