FPR,TPR,AUC
0.0,0.0,0.99917
0.0,0.704,0.99917
0.0,0.721,0.99917
0.0,0.733,0.99917
0.0,0.739,0.99917
0.0,0.743,0.99917
0.0,0.744,0.99917
0.0,0.748,0.99917
0.0,0.751,0.99917
0.0,0.753,0.99917
0.0,0.757,0.99917
0.0,0.764,0.99917
0.0,0.766,0.99917
0.0,0.767,0.99917
0.0,0.769,0.99917
0.0,0.772,0.99917
0.0,0.774,0.99917
0.0,0.781,0.99917
0.0,0.783,0.99917
0.0,0.794,0.99917
0.0,0.796,0.99917
0.0,0.842,0.99917
0.00025,0.842,0.99917
0.00025,0.905,0.99917
0.0005,0.905,0.99917
0.0005,0.912,0.99917
0.00075,0.912,0.99917
0.00075,0.926,0.99917
0.001,0.926,0.99917
0.001,0.927,0.99917
0.00125,0.927,0.99917
0.00125,0.939,0.99917
0.0015,0.939,0.99917
0.0015,0.94,0.99917
0.00175,0.94,0.99917
0.00175,0.943,0.99917
0.002,0.943,0.99917
0.002,0.944,0.99917
0.00225,0.944,0.99917
0.00225,0.95,0.99917
0.0025,0.95,0.99917
0.0025,0.954,0.99917
0.00275,0.954,0.99917
0.00275,0.956,0.99917
0.003,0.956,0.99917
0.003,0.96,0.99917
0.00325,0.96,0.99917
0.00325,0.961,0.99917
0.0035,0.961,0.99917
0.0035,0.962,0.99917
0.00425,0.962,0.99917
0.00425,0.963,0.99917
0.0045,0.963,0.99917
0.0045,0.964,0.99917
0.005,0.964,0.99917
0.005,0.965,0.99917
0.00525,0.965,0.99917
0.00525,0.968,0.99917
0.00575,0.968,0.99917
0.00575,0.973,0.99917
0.006,0.973,0.99917
0.006,0.974,0.99917
0.00675,0.974,0.99917
0.00675,0.975,0.99917
0.00725,0.975,0.99917
0.00725,0.976,0.99917
0.00775,0.976,0.99917
0.00775,0.977,0.99917
0.00825,0.977,0.99917
0.00825,0.978,0.99917
0.0085,0.978,0.99917
0.0085,0.979,0.99917
0.0105,0.979,0.99917
0.0105,0.983,0.99917
0.01125,0.983,0.99917
0.01125,0.985,0.99917
0.01175,0.985,0.99917
0.01175,0.986,0.99917
0.014,0.986,0.99917
0.014,0.987,0.99917
0.01475,0.987,0.99917
0.01475,0.988,0.99917
0.015,0.988,0.99917
0.015,0.989,0.99917
0.01775,0.989,0.99917
0.01775,0.99,0.99917
0.019,0.99,0.99917
0.019,0.991,0.99917
0.0205,0.991,0.99917
0.0205,0.992,0.99917
0.022,0.992,0.99917
0.022,0.993,0.99917
0.0225,0.993,0.99917
0.0225,0.994,0.99917
0.02725,0.994,0.99917
0.02725,0.995,0.99917
0.02825,0.995,0.99917
0.02825,0.996,0.99917
0.03675,0.996,0.99917
0.03675,0.997,0.99917
0.05775,0.997,0.99917
0.05775,0.998,0.99917
0.07875,0.998,0.99917
0.07875,0.999,0.99917
0.1745,0.999,0.99917
0.1745,1.0,0.99917
0.82275,1.0,0.99917
1.0,1.0,0.99917
