FPR,TPR,AUC
0.0,0.0,0.994066
0.0,0.595,0.994066
0.0,0.612,0.994066
0.0,0.622,0.994066
0.0,0.624,0.994066
0.0,0.625,0.994066
0.0,0.627,0.994066
0.0,0.628,0.994066
0.0,0.63,0.994066
0.0,0.633,0.994066
0.0,0.635,0.994066
0.0,0.651,0.994066
0.0,0.653,0.994066
0.0,0.676,0.994066
0.0,0.678,0.994066
0.0,0.709,0.994066
0.00025,0.709,0.994066
0.00025,0.718,0.994066
0.0005,0.718,0.994066
0.0005,0.72,0.994066
0.0005,0.759,0.994066
0.00075,0.759,0.994066
0.00075,0.769,0.994066
0.001,0.769,0.994066
0.001,0.776,0.994066
0.00125,0.776,0.994066
0.00125,0.786,0.994066
0.0015,0.786,0.994066
0.0015,0.798,0.994066
0.00175,0.798,0.994066
0.00175,0.834,0.994066
0.002,0.834,0.994066
0.002,0.838,0.994066
0.00225,0.838,0.994066
0.00225,0.84,0.994066
0.003,0.84,0.994066
0.003,0.843,0.994066
0.00325,0.843,0.994066
0.00325,0.848,0.994066
0.00375,0.848,0.994066
0.00375,0.851,0.994066
0.004,0.851,0.994066
0.004,0.855,0.994066
0.0045,0.855,0.994066
0.0045,0.857,0.994066
0.00475,0.857,0.994066
0.00475,0.858,0.994066
0.00525,0.858,0.994066
0.00525,0.86,0.994066
0.0055,0.86,0.994066
0.0055,0.865,0.994066
0.00575,0.865,0.994066
0.00575,0.867,0.994066
0.006,0.867,0.994066
0.006,0.868,0.994066
0.00625,0.868,0.994066
0.00625,0.869,0.994066
0.0065,0.869,0.994066
0.0065,0.871,0.994066
0.007,0.871,0.994066
0.007,0.877,0.994066
0.00775,0.877,0.994066
0.00775,0.878,0.994066
0.008,0.878,0.994066
0.008,0.882,0.994066
0.0085,0.882,0.994066
0.0085,0.883,0.994066
0.00875,0.883,0.994066
0.00875,0.884,0.994066
0.009,0.884,0.994066
0.009,0.886,0.994066
0.00925,0.886,0.994066
0.00925,0.887,0.994066
0.0105,0.887,0.994066
0.0105,0.892,0.994066
0.01075,0.892,0.994066
0.01075,0.897,0.994066
0.0115,0.897,0.994066
0.0115,0.9,0.994066
0.01175,0.9,0.994066
0.01175,0.907,0.994066
0.012,0.907,0.994066
0.012,0.912,0.994066
0.01225,0.912,0.994066
0.01225,0.917,0.994066
0.01275,0.917,0.994066
0.01275,0.919,0.994066
0.013,0.919,0.994066
0.013,0.92,0.994066
0.01325,0.92,0.994066
0.01325,0.921,0.994066
0.0135,0.921,0.994066
0.0135,0.922,0.994066
0.01375,0.922,0.994066
0.01375,0.925,0.994066
0.01525,0.925,0.994066
0.01525,0.927,0.994066
0.0155,0.927,0.994066
0.0155,0.93,0.994066
