FPR,TPR,AUC
0.0,0.0,0.99813325
0.0,0.264,0.99813325
0.0,0.276,0.99813325
0.0,0.277,0.99813325
0.0,0.285,0.99813325
0.0,0.287,0.99813325
0.0,0.292,0.99813325
0.0,0.296,0.99813325
0.0,0.297,0.99813325
0.0,0.299,0.99813325
0.0,0.301,0.99813325
0.0,0.303,0.99813325
0.0,0.306,0.99813325
0.0,0.308,0.99813325
0.0,0.309,0.99813325
0.0,0.317,0.99813325
0.0,0.337,0.99813325
0.0,0.34,0.99813325
0.0,0.342,0.99813325
0.0,0.344,0.99813325
0.0,0.398,0.99813325
0.0,0.4,0.99813325
0.0,0.622,0.99813325
0.00025,0.622,0.99813325
0.00025,0.65,0.99813325
0.0005,0.65,0.99813325
0.0005,0.792,0.99813325
0.00075,0.792,0.99813325
0.00075,0.802,0.99813325
0.001,0.802,0.99813325
0.001,0.813,0.99813325
0.00125,0.813,0.99813325
0.00125,0.817,0.99813325
0.0015,0.817,0.99813325
0.0015,0.867,0.99813325
0.00175,0.867,0.99813325
0.00175,0.869,0.99813325
0.002,0.869,0.99813325
0.002,0.87,0.99813325
0.00225,0.87,0.99813325
0.00225,0.89,0.99813325
0.0025,0.89,0.99813325
0.0025,0.901,0.99813325
0.00275,0.901,0.99813325
0.00275,0.91,0.99813325
0.003,0.91,0.99813325
0.003,0.913,0.99813325
0.00325,0.913,0.99813325
0.00325,0.925,0.99813325
0.00375,0.925,0.99813325
0.00375,0.937,0.99813325
0.004,0.937,0.99813325
0.004,0.939,0.99813325
0.00425,0.939,0.99813325
0.00425,0.94,0.99813325
0.00475,0.94,0.99813325
0.00475,0.955,0.99813325
0.00525,0.955,0.99813325
0.00525,0.956,0.99813325
0.0055,0.956,0.99813325
0.0055,0.958,0.99813325
0.006,0.958,0.99813325
0.006,0.959,0.99813325
0.00625,0.959,0.99813325
0.00625,0.962,0.99813325
0.0065,0.962,0.99813325
0.0065,0.963,0.99813325
0.00675,0.963,0.99813325
0.00675,0.965,0.99813325
0.00725,0.965,0.99813325
0.00725,0.966,0.99813325
0.0075,0.966,0.99813325
0.0075,0.967,0.99813325
0.008,0.967,0.99813325
0.008,0.969,0.99813325
0.00925,0.969,0.99813325
0.00925,0.971,0.99813325
0.00975,0.971,0.99813325
0.00975,0.974,0.99813325
0.01025,0.974,0.99813325
0.01025,0.976,0.99813325
0.012,0.976,0.99813325
0.012,0.977,0.99813325
0.01275,0.977,0.99813325
0.01275,0.978,0.99813325
0.014,0.978,0.99813325
0.014,0.979,0.99813325
0.01475,0.979,0.99813325
0.01475,0.98,0.99813325
0.015,0.98,0.99813325
0.015,0.982,0.99813325
0.01575,0.982,0.99813325
0.01575,0.983,0.99813325
0.0165,0.983,0.99813325
0.0165,0.985,0.99813325
0.02125,0.985,0.99813325
0.02125,0.986,0.99813325
0.022,0.986,0.99813325
0.022,0.987,0.99813325
0.023,0.987,0.99813325
0.023,0.988,0.99813325
0.02625,0.988,0.99813325
0.02625,0.989,0.99813325
0.041,0.989,0.99813325
0.041,0.99,0.99813325
0.0435,0.99,0.99813325
0.0435,0.991,0.99813325
0.0475,0.991,0.99813325
0.0475,0.992,0.99813325
0.04925,0.992,0.99813325
0.04925,0.993,0.99813325
0.05225,0.993,0.99813325
0.05225,0.994,0.99813325
0.0555,0.994,0.99813325
0.0555,0.995,0.99813325
0.06,0.995,0.99813325
0.06,0.996,0.99813325
0.07925,0.996,0.99813325
0.07925,0.997,0.99813325
0.135,0.997,0.99813325
0.135,0.998,0.99813325
0.218,0.998,0.99813325
0.218,0.999,0.99813325
0.245,0.999,0.99813325
0.245,1.0,0.99813325
1.0,1.0,0.99813325
