FPR,TPR,AUC
0.0,0.0,0.9082015
0.0,0.001,0.9082015
0.0,0.031,0.9082015
0.00025,0.031,0.9082015
0.00025,0.046,0.9082015
0.00075,0.046,0.9082015
0.00075,0.049,0.9082015
0.001,0.049,0.9082015
0.001,0.052,0.9082015
0.00125,0.052,0.9082015
0.00125,0.054,0.9082015
0.00175,0.054,0.9082015
0.00175,0.059,0.9082015
0.002,0.059,0.9082015
0.002,0.067,0.9082015
0.00225,0.067,0.9082015
0.00225,0.075,0.9082015
0.0025,0.075,0.9082015
0.0025,0.076,0.9082015
0.00275,0.076,0.9082015
0.00275,0.096,0.9082015
0.003,0.096,0.9082015
0.003,0.103,0.9082015
0.00325,0.103,0.9082015
0.00325,0.104,0.9082015
0.0035,0.104,0.9082015
0.0035,0.107,0.9082015
0.00375,0.107,0.9082015
0.00375,0.11,0.9082015
0.004,0.11,0.9082015
0.004,0.116,0.9082015
0.00425,0.116,0.9082015
0.00425,0.122,0.9082015
0.0045,0.122,0.9082015
0.0045,0.123,0.9082015
0.005,0.123,0.9082015
0.005,0.124,0.9082015
0.0055,0.124,0.9082015
0.0055,0.126,0.9082015
0.00575,0.126,0.9082015
0.00575,0.137,0.9082015
0.00625,0.137,0.9082015
0.00625,0.138,0.9082015
0.0065,0.138,0.9082015
0.0065,0.139,0.9082015
0.007,0.139,0.9082015
0.007,0.146,0.9082015
0.00725,0.146,0.9082015
0.00725,0.153,0.9082015
0.0075,0.153,0.9082015
0.0075,0.158,0.9082015
0.00775,0.158,0.9082015
0.00775,0.159,0.9082015
0.008,0.159,0.9082015
0.008,0.164,0.9082015
0.00825,0.164,0.9082015
0.00825,0.166,0.9082015
0.0085,0.166,0.9082015
0.0085,0.167,0.9082015
0.00925,0.167,0.9082015
0.00925,0.169,0.9082015
0.01025,0.169,0.9082015
0.01025,0.172,0.9082015
0.0105,0.172,0.9082015
0.0105,0.174,0.9082015
0.01075,0.174,0.9082015
0.01075,0.176,0.9082015
0.011,0.176,0.9082015
0.011,0.179,0.9082015
0.01125,0.179,0.9082015
0.01125,0.18,0.9082015
0.0115,0.18,0.9082015
0.0115,0.185,0.9082015
0.012,0.185,0.9082015
0.012,0.187,0.9082015
0.01225,0.187,0.9082015
0.01225,0.194,0.9082015
0.01275,0.194,0.9082015
0.01275,0.195,0.9082015
0.01325,0.195,0.9082015
0.01325,0.199,0.9082015
0.0135,0.199,0.9082015
0.0135,0.201,0.9082015
0.01375,0.201,0.9082015
0.01375,0.202,0.9082015
0.01425,0.202,0.9082015
0.01425,0.206,0.9082015
0.0145,0.206,0.9082015
0.0145,0.207,0.9082015
0.015,0.207,0.9082015
0.015,0.211,0.9082015
0.01525,0.211,0.9082015
0.01525,0.212,0.9082015
0.0155,0.212,0.9082015
0.0155,0.22,0.9082015
0.01575,0.22,0.9082015
0.01575,0.228,0.9082015
0.016,0.228,0.9082015
0.016,0.229,0.9082015
0.0165,0.229,0.9082015
0.0165,0.231,0.9082015
0.01675,0.231,0.9082015
0.01675,0.234,0.9082015
0.017,0.234,0.9082015
0.017,0.235,0.9082015
0.01725,0.235,0.9082015
0.01725,0.237,0.9082015
0.0175,0.237,0.9082015
0.0175,0.239,0.9082015
0.018,0.239,0.9082015
0.018,0.242,0.9082015
