FPR,TPR,AUC
0.0,0.0,0.8094845
0.00025,0.0,0.8094845
0.00025,0.003,0.8094845
0.0005,0.003,0.8094845
0.0005,0.005,0.8094845
0.00075,0.005,0.8094845
0.00075,0.006,0.8094845
0.002,0.006,0.8094845
0.002,0.007,0.8094845
0.00225,0.007,0.8094845
0.00225,0.01,0.8094845
0.0025,0.01,0.8094845
0.0025,0.015,0.8094845
0.00325,0.015,0.8094845
0.00325,0.016,0.8094845
0.0035,0.016,0.8094845
0.0035,0.017,0.8094845
0.00425,0.017,0.8094845
0.00425,0.018,0.8094845
0.0045,0.018,0.8094845
0.0045,0.019,0.8094845
0.005,0.019,0.8094845
0.005,0.022,0.8094845
0.0055,0.022,0.8094845
0.0055,0.023,0.8094845
0.00575,0.023,0.8094845
0.00575,0.024,0.8094845
0.0065,0.024,0.8094845
0.0065,0.025,0.8094845
0.00675,0.025,0.8094845
0.00675,0.026,0.8094845
0.0075,0.026,0.8094845
0.0075,0.027,0.8094845
0.0085,0.027,0.8094845
0.0085,0.028,0.8094845
0.00875,0.028,0.8094845
0.00875,0.029,0.8094845
0.0095,0.029,0.8094845
0.0095,0.031,0.8094845
0.00975,0.031,0.8094845
0.00975,0.032,0.8094845
0.01025,0.032,0.8094845
0.01025,0.034,0.8094845
0.01175,0.034,0.8094845
0.01175,0.036,0.8094845
0.012,0.036,0.8094845
0.012,0.038,0.8094845
0.01225,0.038,0.8094845
0.01225,0.042,0.8094845
0.0125,0.042,0.8094845
0.0125,0.043,0.8094845
0.01325,0.043,0.8094845
0.01325,0.044,0.8094845
0.01375,0.044,0.8094845
0.01375,0.046,0.8094845
0.014,0.046,0.8094845
0.014,0.047,0.8094845
0.015,0.047,0.8094845
0.015,0.05,0.8094845
0.01575,0.05,0.8094845
0.01575,0.051,0.8094845
0.01625,0.051,0.8094845
0.01625,0.052,0.8094845
0.0165,0.052,0.8094845
0.0165,0.053,0.8094845
0.017,0.053,0.8094845
0.017,0.054,0.8094845
0.01725,0.054,0.8094845
0.01725,0.055,0.8094845
0.01775,0.055,0.8094845
0.01775,0.056,0.8094845
0.01825,0.056,0.8094845
0.01825,0.058,0.8094845
0.01875,0.058,0.8094845
0.01875,0.059,0.8094845
0.01925,0.059,0.8094845
0.01925,0.061,0.8094845
0.02075,0.061,0.8094845
0.02075,0.063,0.8094845
0.02125,0.063,0.8094845
0.02125,0.065,0.8094845
0.0215,0.065,0.8094845
0.0215,0.072,0.8094845
0.02175,0.072,0.8094845
0.02175,0.081,0.8094845
0.022,0.081,0.8094845
0.022,0.086,0.8094845
0.02325,0.086,0.8094845
0.02325,0.089,0.8094845
0.0235,0.089,0.8094845
0.0235,0.091,0.8094845
0.02375,0.091,0.8094845
0.02375,0.092,0.8094845
0.0245,0.092,0.8094845
0.0245,0.093,0.8094845
0.02475,0.093,0.8094845
0.02475,0.097,0.8094845
0.02525,0.097,0.8094845
0.02525,0.1,0.8094845
0.02575,0.1,0.8094845
0.02575,0.101,0.8094845
0.02675,0.101,0.8094845
0.02675,0.102,0.8094845
0.02725,0.102,0.8094845
0.02725,0.103,0.8094845
0.02775,0.103,0.8094845
0.02775,0.104,0.8094845
0.028,0.104,0.8094845
0.028,0.106,0.8094845
0.029,0.106,0.8094845
0.029,0.107,0.8094845
0.0295,0.107,0.8094845
0.0295,0.109,0.8094845
0.02975,0.109,0.8094845
0.02975,0.11,0.8094845
0.03,0.11,0.8094845
0.03,0.111,0.8094845
0.0305,0.111,0.8094845
0.0305,0.113,0.8094845
0.03175,0.113,0.8094845
0.03175,0.114,0.8094845
0.0325,0.114,0.8094845
0.0325,0.115,0.8094845
0.033,0.115,0.8094845
0.033,0.117,0.8094845
0.03325,0.117,0.8094845
0.03325,0.121,0.8094845
0.0335,0.121,0.8094845
0.0335,0.122,0.8094845
0.03375,0.122,0.8094845
0.03375,0.123,0.8094845
0.034,0.123,0.8094845
0.034,0.124,0.8094845
0.0345,0.124,0.8094845
0.0345,0.126,0.8094845
0.035,0.126,0.8094845
0.035,0.127,0.8094845
0.03575,0.127,0.8094845
0.03575,0.129,0.8094845
0.036,0.129,0.8094845
0.036,0.13,0.8094845
0.03625,0.13,0.8094845
0.03625,0.134,0.8094845
0.0365,0.134,0.8094845
0.0365,0.135,0.8094845
0.037,0.135,0.8094845
0.037,0.136,0.8094845
0.03725,0.136,0.8094845
0.03725,0.141,0.8094845
0.0375,0.141,0.8094845
0.0375,0.149,0.8094845
0.03825,0.149,0.8094845
0.03825,0.151,0.8094845
0.03875,0.151,0.8094845
0.03875,0.152,0.8094845
0.039,0.152,0.8094845
0.039,0.153,0.8094845
0.03975,0.153,0.8094845
0.03975,0.155,0.8094845
0.04,0.155,0.8094845
0.04,0.157,0.8094845
0.04125,0.157,0.8094845
0.04125,0.159,0.8094845
0.0415,0.159,0.8094845
0.0415,0.16,0.8094845
0.04225,0.16,0.8094845
0.04225,0.163,0.8094845
0.04275,0.163,0.8094845
0.04275,0.165,0.8094845
0.043,0.165,0.8094845
0.043,0.167,0.8094845
0.0435,0.167,0.8094845
0.0435,0.168,0.8094845
0.044,0.168,0.8094845
0.044,0.169,0.8094845
0.0445,0.169,0.8094845
0.0445,0.17,0.8094845
0.045,0.17,0.8094845
0.045,0.171,0.8094845
0.04525,0.171,0.8094845
0.04525,0.174,0.8094845
0.0455,0.174,0.8094845
0.0455,0.177,0.8094845
0.046,0.177,0.8094845
0.046,0.178,0.8094845
0.04625,0.178,0.8094845
0.04625,0.181,0.8094845
0.0465,0.181,0.8094845
0.0465,0.182,0.8094845
0.047,0.182,0.8094845
0.047,0.183,0.8094845
0.04775,0.183,0.8094845
0.04775,0.185,0.8094845
0.048,0.185,0.8094845
0.048,0.187,0.8094845
0.04825,0.187,0.8094845
0.04825,0.188,0.8094845
0.0485,0.188,0.8094845
0.0485,0.189,0.8094845
0.04875,0.189,0.8094845
0.04875,0.192,0.8094845
0.049,0.192,0.8094845
0.049,0.194,0.8094845
0.04925,0.194,0.8094845
0.04925,0.195,0.8094845
0.05025,0.195,0.8094845
0.05025,0.196,0.8094845
0.05075,0.196,0.8094845
0.05075,0.198,0.8094845
0.051,0.198,0.8094845
0.051,0.199,0.8094845
0.05125,0.199,0.8094845
0.05125,0.2,0.8094845
0.0515,0.2,0.8094845
0.0515,0.204,0.8094845
0.05175,0.204,0.8094845
0.05175,0.207,0.8094845
0.052,0.207,0.8094845
0.052,0.208,0.8094845
0.05225,0.208,0.8094845
0.05225,0.209,0.8094845
0.0525,0.209,0.8094845
0.0525,0.21,0.8094845
0.05275,0.21,0.8094845
0.05275,0.212,0.8094845
0.053,0.212,0.8094845
0.053,0.213,0.8094845
0.05425,0.213,0.8094845
0.05425,0.214,0.8094845
0.0545,0.214,0.8094845
0.0545,0.215,0.8094845
0.05475,0.215,0.8094845
0.05475,0.217,0.8094845
0.0565,0.217,0.8094845
0.0565,0.219,0.8094845
0.05675,0.219,0.8094845
0.05675,0.221,0.8094845
0.057,0.221,0.8094845
0.057,0.222,0.8094845
0.0575,0.222,0.8094845
0.0575,0.225,0.8094845
0.05775,0.225,0.8094845
0.05775,0.227,0.8094845
