FPR,TPR,AUC
0.0,0.0,0.9234525
0.0,0.001,0.9234525
0.0,0.105,0.9234525
0.00025,0.105,0.9234525
0.00025,0.14,0.9234525
0.0005,0.14,0.9234525
0.0005,0.185,0.9234525
0.00075,0.185,0.9234525
0.00075,0.186,0.9234525
0.001,0.186,0.9234525
0.001,0.199,0.9234525
0.00125,0.199,0.9234525
0.00125,0.222,0.9234525
0.0015,0.222,0.9234525
0.0015,0.272,0.9234525
0.00175,0.272,0.9234525
0.00175,0.285,0.9234525
0.002,0.285,0.9234525
0.002,0.287,0.9234525
0.0025,0.287,0.9234525
0.0025,0.289,0.9234525
0.00275,0.289,0.9234525
0.00275,0.293,0.9234525
0.003,0.293,0.9234525
0.003,0.294,0.9234525
0.00325,0.294,0.9234525
0.00325,0.313,0.9234525
0.0035,0.313,0.9234525
0.0035,0.321,0.9234525
0.00375,0.321,0.9234525
0.00375,0.328,0.9234525
0.004,0.328,0.9234525
0.004,0.329,0.9234525
0.00425,0.329,0.9234525
0.00425,0.332,0.9234525
0.0045,0.332,0.9234525
0.0045,0.334,0.9234525
0.00475,0.334,0.9234525
0.00475,0.346,0.9234525
0.005,0.346,0.9234525
0.005,0.352,0.9234525
0.00525,0.352,0.9234525
0.00525,0.353,0.9234525
0.0055,0.353,0.9234525
0.0055,0.354,0.9234525
0.00575,0.354,0.9234525
0.00575,0.362,0.9234525
0.00625,0.362,0.9234525
0.00625,0.363,0.9234525
0.0065,0.363,0.9234525
0.0065,0.368,0.9234525
0.00675,0.368,0.9234525
0.00675,0.372,0.9234525
0.007,0.372,0.9234525
0.007,0.378,0.9234525
0.0075,0.378,0.9234525
0.0075,0.388,0.9234525
0.00825,0.388,0.9234525
0.00825,0.392,0.9234525
0.0085,0.392,0.9234525
0.0085,0.393,0.9234525
0.00875,0.393,0.9234525
0.00875,0.397,0.9234525
0.009,0.397,0.9234525
0.009,0.4,0.9234525
0.00925,0.4,0.9234525
0.00925,0.404,0.9234525
0.0095,0.404,0.9234525
0.0095,0.406,0.9234525
0.00975,0.406,0.9234525
0.00975,0.407,0.9234525
0.01025,0.407,0.9234525
0.01025,0.41,0.9234525
0.0105,0.41,0.9234525
0.0105,0.412,0.9234525
0.011,0.412,0.9234525
0.011,0.418,0.9234525
