FPR,TPR,AUC
0.0,0.0,0.51885125
0.0,0.001,0.51885125
0.0,0.01,0.51885125
0.00025,0.01,0.51885125
0.00025,0.012,0.51885125
0.0005,0.012,0.51885125
0.0005,0.013,0.51885125
0.00175,0.013,0.51885125
0.00175,0.014,0.51885125
0.0025,0.014,0.51885125
0.0025,0.016,0.51885125
0.00275,0.016,0.51885125
0.00275,0.017,0.51885125
0.0035,0.017,0.51885125
0.0035,0.019,0.51885125
0.00425,0.019,0.51885125
0.00425,0.023,0.51885125
0.0045,0.023,0.51885125
0.0045,0.024,0.51885125
0.00475,0.024,0.51885125
0.00475,0.025,0.51885125
0.00525,0.025,0.51885125
0.00525,0.026,0.51885125
0.00575,0.026,0.51885125
0.00575,0.027,0.51885125
0.00675,0.027,0.51885125
0.00675,0.03,0.51885125
0.008,0.03,0.51885125
0.008,0.031,0.51885125
0.009,0.031,0.51885125
0.009,0.032,0.51885125
0.01075,0.032,0.51885125
0.01075,0.033,0.51885125
0.0115,0.033,0.51885125
0.0115,0.034,0.51885125
0.01175,0.034,0.51885125
0.01175,0.035,0.51885125
0.013,0.035,0.51885125
0.013,0.036,0.51885125
0.01325,0.036,0.51885125
0.01325,0.038,0.51885125
0.0145,0.038,0.51885125
0.0145,0.04,0.51885125
0.017,0.04,0.51885125
0.017,0.044,0.51885125
0.01775,0.044,0.51885125
0.01775,0.045,0.51885125
0.01825,0.045,0.51885125
0.01825,0.046,0.51885125
0.0185,0.046,0.51885125
0.0185,0.047,0.51885125
0.0205,0.047,0.51885125
0.0205,0.048,0.51885125
0.02075,0.048,0.51885125
0.02075,0.049,0.51885125
0.021,0.049,0.51885125
0.021,0.05,0.51885125
0.0225,0.05,0.51885125
0.0225,0.052,0.51885125
0.023,0.052,0.51885125
0.023,0.054,0.51885125
0.0235,0.054,0.51885125
0.0235,0.055,0.51885125
0.02475,0.055,0.51885125
0.02475,0.056,0.51885125
0.025,0.056,0.51885125
0.025,0.057,0.51885125
0.0255,0.057,0.51885125
0.0255,0.058,0.51885125
0.027,0.058,0.51885125
0.027,0.059,0.51885125
0.02825,0.059,0.51885125
0.02825,0.06,0.51885125
0.0315,0.06,0.51885125
0.0315,0.061,0.51885125
0.03275,0.061,0.51885125
0.03275,0.062,0.51885125
