FPR,TPR,AUC
0.0,0.0,0.662003
0.0,0.001,0.662003
0.0,0.002,0.662003
0.00025,0.002,0.662003
0.00025,0.005,0.662003
0.00075,0.005,0.662003
0.00075,0.007,0.662003
0.001,0.007,0.662003
0.001,0.011,0.662003
0.0015,0.011,0.662003
0.0015,0.012,0.662003
0.002,0.012,0.662003
0.002,0.014,0.662003
0.00275,0.014,0.662003
0.00275,0.016,0.662003
0.00325,0.016,0.662003
0.00325,0.017,0.662003
0.004,0.017,0.662003
0.004,0.018,0.662003
0.00475,0.018,0.662003
0.00475,0.019,0.662003
0.00525,0.019,0.662003
0.00525,0.02,0.662003
0.00625,0.02,0.662003
0.00625,0.021,0.662003
0.0065,0.021,0.662003
0.0065,0.022,0.662003
0.00725,0.022,0.662003
0.00725,0.024,0.662003
0.00775,0.024,0.662003
0.00775,0.025,0.662003
0.00825,0.025,0.662003
0.00825,0.026,0.662003
0.009,0.026,0.662003
0.009,0.027,0.662003
0.01075,0.027,0.662003
0.01075,0.028,0.662003
0.011,0.028,0.662003
0.011,0.03,0.662003
0.0115,0.03,0.662003
0.0115,0.031,0.662003
0.012,0.031,0.662003
0.012,0.032,0.662003
0.0125,0.032,0.662003
0.0125,0.033,0.662003
0.0135,0.033,0.662003
0.0135,0.035,0.662003
0.01375,0.035,0.662003
0.01375,0.036,0.662003
0.014,0.036,0.662003
0.014,0.037,0.662003
0.0145,0.037,0.662003
0.0145,0.04,0.662003
0.01475,0.04,0.662003
0.01475,0.041,0.662003
0.0165,0.041,0.662003
0.0165,0.042,0.662003
0.01675,0.042,0.662003
0.01675,0.043,0.662003
0.017,0.043,0.662003
0.017,0.045,0.662003
0.01975,0.045,0.662003
0.01975,0.047,0.662003
0.02025,0.047,0.662003
0.02025,0.049,0.662003
0.0215,0.049,0.662003
0.0215,0.05,0.662003
0.02175,0.05,0.662003
0.02175,0.051,0.662003
0.022,0.051,0.662003
0.022,0.052,0.662003
0.02225,0.052,0.662003
0.02225,0.054,0.662003
0.0225,0.054,0.662003
0.0225,0.055,0.662003
0.02325,0.055,0.662003
0.02325,0.056,0.662003
0.0235,0.056,0.662003
0.0235,0.057,0.662003
0.02375,0.057,0.662003
0.02375,0.058,0.662003
0.0245,0.058,0.662003
0.0245,0.06,0.662003
0.02475,0.06,0.662003
0.02475,0.061,0.662003
0.0255,0.061,0.662003
0.0255,0.062,0.662003
0.02625,0.062,0.662003
0.02625,0.063,0.662003
0.0265,0.063,0.662003
0.0265,0.065,0.662003
0.0275,0.065,0.662003
0.0275,0.067,0.662003
0.0285,0.067,0.662003
0.0285,0.069,0.662003
0.02875,0.069,0.662003
0.02875,0.071,0.662003
0.03075,0.071,0.662003
0.03075,0.072,0.662003
0.03375,0.072,0.662003
0.03375,0.074,0.662003
0.034,0.074,0.662003
0.034,0.079,0.662003
0.03475,0.079,0.662003
0.03475,0.081,0.662003
0.03625,0.081,0.662003
0.03625,0.082,0.662003
0.03675,0.082,0.662003
0.03675,0.084,0.662003
0.03725,0.084,0.662003
0.03725,0.085,0.662003
0.03775,0.085,0.662003
0.03775,0.087,0.662003
0.03875,0.087,0.662003
0.03875,0.088,0.662003
0.03975,0.088,0.662003
0.03975,0.091,0.662003
0.041,0.091,0.662003
0.041,0.092,0.662003
0.04175,0.092,0.662003
0.04175,0.093,0.662003
0.04225,0.093,0.662003
0.04225,0.094,0.662003
0.04275,0.094,0.662003
0.04275,0.095,0.662003
0.04375,0.095,0.662003
0.04375,0.096,0.662003
0.0445,0.096,0.662003
0.0445,0.097,0.662003
0.04525,0.097,0.662003
0.04525,0.102,0.662003
0.0465,0.102,0.662003
0.0465,0.103,0.662003
0.04775,0.103,0.662003
0.04775,0.104,0.662003
0.049,0.104,0.662003
0.049,0.105,0.662003
0.04925,0.105,0.662003
0.04925,0.106,0.662003
0.0505,0.106,0.662003
0.0505,0.107,0.662003
0.051,0.107,0.662003
0.051,0.108,0.662003
0.05325,0.108,0.662003
0.05325,0.11,0.662003
0.054,0.11,0.662003
0.054,0.111,0.662003
0.055,0.111,0.662003
0.055,0.113,0.662003
0.0555,0.113,0.662003
0.0555,0.114,0.662003
0.05625,0.114,0.662003
0.05625,0.115,0.662003
0.05675,0.115,0.662003
0.05675,0.117,0.662003
0.05775,0.117,0.662003
0.05775,0.118,0.662003
0.058,0.118,0.662003
0.058,0.119,0.662003
0.05825,0.119,0.662003
0.05825,0.121,0.662003
0.0585,0.121,0.662003
0.0585,0.122,0.662003
0.059,0.122,0.662003
0.059,0.123,0.662003
0.0595,0.123,0.662003
0.0595,0.124,0.662003
0.06,0.124,0.662003
0.06,0.126,0.662003
0.06025,0.126,0.662003
0.06025,0.128,0.662003
0.061,0.128,0.662003
0.061,0.129,0.662003
0.06175,0.129,0.662003
0.06175,0.13,0.662003
0.062,0.13,0.662003
0.062,0.132,0.662003
0.06275,0.132,0.662003
0.06275,0.135,0.662003
0.06525,0.135,0.662003
0.06525,0.138,0.662003
0.06575,0.138,0.662003
0.06575,0.139,0.662003
0.067,0.139,0.662003
0.067,0.14,0.662003
0.06775,0.14,0.662003
0.06775,0.141,0.662003
0.068,0.141,0.662003
0.068,0.144,0.662003
0.0685,0.144,0.662003
0.0685,0.146,0.662003
0.0695,0.146,0.662003
0.0695,0.147,0.662003
0.071,0.147,0.662003
0.071,0.148,0.662003
0.07125,0.148,0.662003
0.07125,0.149,0.662003
0.0715,0.149,0.662003
0.0715,0.15,0.662003
0.073,0.15,0.662003
0.073,0.151,0.662003
0.0735,0.151,0.662003
0.0735,0.152,0.662003
0.07375,0.152,0.662003
0.07375,0.153,0.662003
