FPR,TPR,AUC
0.0,0.0,0.80980025
0.00025,0.0,0.80980025
0.00025,0.006,0.80980025
0.0005,0.006,0.80980025
0.0005,0.015,0.80980025
0.00075,0.015,0.80980025
0.00075,0.024,0.80980025
0.001,0.024,0.80980025
0.001,0.03,0.80980025
0.00125,0.03,0.80980025
0.00125,0.032,0.80980025
0.0015,0.032,0.80980025
0.0015,0.042,0.80980025
0.00175,0.042,0.80980025
0.00175,0.043,0.80980025
0.002,0.043,0.80980025
0.002,0.044,0.80980025
0.00225,0.044,0.80980025
0.00225,0.047,0.80980025
0.00275,0.047,0.80980025
0.00275,0.048,0.80980025
0.003,0.048,0.80980025
0.003,0.065,0.80980025
0.00325,0.065,0.80980025
0.00325,0.077,0.80980025
0.0035,0.077,0.80980025
0.0035,0.089,0.80980025
0.0045,0.089,0.80980025
0.0045,0.091,0.80980025
0.00475,0.091,0.80980025
0.00475,0.092,0.80980025
0.00525,0.092,0.80980025
0.00525,0.095,0.80980025
0.0055,0.095,0.80980025
0.0055,0.099,0.80980025
0.00575,0.099,0.80980025
0.00575,0.102,0.80980025
0.006,0.102,0.80980025
0.006,0.107,0.80980025
0.00625,0.107,0.80980025
0.00625,0.112,0.80980025
0.0065,0.112,0.80980025
0.0065,0.115,0.80980025
0.00675,0.115,0.80980025
0.00675,0.126,0.80980025
0.007,0.126,0.80980025
0.007,0.13,0.80980025
0.00725,0.13,0.80980025
0.00725,0.131,0.80980025
0.0075,0.131,0.80980025
0.0075,0.143,0.80980025
0.00775,0.143,0.80980025
0.00775,0.148,0.80980025
0.008,0.148,0.80980025
0.008,0.149,0.80980025
0.0085,0.149,0.80980025
0.0085,0.151,0.80980025
0.00875,0.151,0.80980025
0.00875,0.153,0.80980025
0.009,0.153,0.80980025
0.009,0.156,0.80980025
0.00925,0.156,0.80980025
0.00925,0.157,0.80980025
0.0095,0.157,0.80980025
0.0095,0.158,0.80980025
0.00975,0.158,0.80980025
0.00975,0.17,0.80980025
0.01025,0.17,0.80980025
0.01025,0.172,0.80980025
0.01075,0.172,0.80980025
0.01075,0.176,0.80980025
0.01175,0.176,0.80980025
0.01175,0.177,0.80980025
0.012,0.177,0.80980025
0.012,0.18,0.80980025
0.01225,0.18,0.80980025
0.01225,0.182,0.80980025
0.01275,0.182,0.80980025
0.01275,0.185,0.80980025
0.013,0.185,0.80980025
0.013,0.187,0.80980025
0.0135,0.187,0.80980025
0.0135,0.19,0.80980025
0.014,0.19,0.80980025
0.014,0.191,0.80980025
0.01425,0.191,0.80980025
0.01425,0.192,0.80980025
0.0145,0.192,0.80980025
0.0145,0.193,0.80980025
0.015,0.193,0.80980025
0.015,0.195,0.80980025
0.0165,0.195,0.80980025
0.0165,0.2,0.80980025
0.01675,0.2,0.80980025
0.01675,0.201,0.80980025
0.017,0.201,0.80980025
0.017,0.202,0.80980025
0.0175,0.202,0.80980025
0.0175,0.203,0.80980025
0.01775,0.203,0.80980025
0.01775,0.207,0.80980025
0.018,0.207,0.80980025
0.018,0.212,0.80980025
0.0185,0.212,0.80980025
0.0185,0.213,0.80980025
0.01875,0.213,0.80980025
0.01875,0.214,0.80980025
0.019,0.214,0.80980025
0.019,0.217,0.80980025
0.01925,0.217,0.80980025
0.01925,0.221,0.80980025
0.0195,0.221,0.80980025
0.0195,0.224,0.80980025
0.01975,0.224,0.80980025
0.01975,0.229,0.80980025
0.02,0.229,0.80980025
0.02,0.231,0.80980025
0.021,0.231,0.80980025
0.021,0.234,0.80980025
0.02125,0.234,0.80980025
0.02125,0.235,0.80980025
0.0215,0.235,0.80980025
0.0215,0.241,0.80980025
0.02175,0.241,0.80980025
0.02175,0.25,0.80980025
0.02225,0.25,0.80980025
0.02225,0.254,0.80980025
0.0225,0.254,0.80980025
0.0225,0.26,0.80980025
0.02275,0.26,0.80980025
0.02275,0.261,0.80980025
0.023,0.261,0.80980025
0.023,0.263,0.80980025
0.02325,0.263,0.80980025
0.02325,0.264,0.80980025
0.0235,0.264,0.80980025
0.0235,0.266,0.80980025
0.02375,0.266,0.80980025
0.02375,0.268,0.80980025
0.024,0.268,0.80980025
0.024,0.27,0.80980025
0.0245,0.27,0.80980025
0.0245,0.271,0.80980025
0.025,0.271,0.80980025
0.025,0.274,0.80980025
0.0255,0.274,0.80980025
0.0255,0.276,0.80980025
0.02575,0.276,0.80980025
0.02575,0.284,0.80980025
0.02625,0.284,0.80980025
0.02625,0.285,0.80980025
0.0265,0.285,0.80980025
0.0265,0.286,0.80980025
0.02675,0.286,0.80980025
0.02675,0.289,0.80980025
0.027,0.289,0.80980025
0.027,0.292,0.80980025
0.0275,0.292,0.80980025
0.0275,0.295,0.80980025
0.02775,0.295,0.80980025
0.02775,0.296,0.80980025
0.0285,0.296,0.80980025
0.0285,0.298,0.80980025
0.029,0.298,0.80980025
0.029,0.3,0.80980025
0.0295,0.3,0.80980025
0.0295,0.302,0.80980025
0.02975,0.302,0.80980025
0.02975,0.305,0.80980025
0.03,0.305,0.80980025
0.03,0.309,0.80980025
0.03025,0.309,0.80980025
0.03025,0.31,0.80980025
0.0305,0.31,0.80980025
0.0305,0.313,0.80980025
0.0315,0.313,0.80980025
0.0315,0.315,0.80980025
0.03175,0.315,0.80980025
0.03175,0.317,0.80980025
0.0325,0.317,0.80980025
0.0325,0.318,0.80980025
0.03275,0.318,0.80980025
0.03275,0.32,0.80980025
0.033,0.32,0.80980025
0.033,0.323,0.80980025
0.0335,0.323,0.80980025
0.0335,0.329,0.80980025
0.03425,0.329,0.80980025
0.03425,0.33,0.80980025
0.0345,0.33,0.80980025
0.0345,0.331,0.80980025
0.03525,0.331,0.80980025
0.03525,0.332,0.80980025
0.03575,0.332,0.80980025
0.03575,0.334,0.80980025
0.036,0.334,0.80980025
0.036,0.337,0.80980025
0.03625,0.337,0.80980025
0.03625,0.338,0.80980025
0.03675,0.338,0.80980025
0.03675,0.339,0.80980025
0.037,0.339,0.80980025
0.037,0.34,0.80980025
0.03725,0.34,0.80980025
0.03725,0.341,0.80980025
0.03775,0.341,0.80980025
0.03775,0.342,0.80980025
0.038,0.342,0.80980025
0.038,0.344,0.80980025
0.0385,0.344,0.80980025
0.0385,0.346,0.80980025
0.03875,0.346,0.80980025
0.03875,0.347,0.80980025
0.039,0.347,0.80980025
0.039,0.348,0.80980025
0.0395,0.348,0.80980025
0.0395,0.351,0.80980025
0.03975,0.351,0.80980025
0.03975,0.354,0.80980025
0.04,0.354,0.80980025
0.04,0.355,0.80980025
0.04075,0.355,0.80980025
0.04075,0.357,0.80980025
