FPR,TPR,AUC
0.0,0.0,0.915447
0.0,0.001,0.915447
0.0,0.005,0.915447
0.00025,0.005,0.915447
0.00025,0.012,0.915447
0.0005,0.012,0.915447
0.0005,0.016,0.915447
0.00075,0.016,0.915447
0.00075,0.018,0.915447
0.001,0.018,0.915447
0.001,0.02,0.915447
0.0015,0.02,0.915447
0.0015,0.028,0.915447
0.002,0.028,0.915447
0.002,0.033,0.915447
0.00225,0.033,0.915447
0.00225,0.039,0.915447
0.0025,0.039,0.915447
0.0025,0.04,0.915447
0.00275,0.04,0.915447
0.00275,0.044,0.915447
0.00325,0.044,0.915447
0.00325,0.064,0.915447
0.0035,0.064,0.915447
0.0035,0.076,0.915447
0.00375,0.076,0.915447
0.00375,0.08,0.915447
0.004,0.08,0.915447
0.004,0.088,0.915447
0.00425,0.088,0.915447
0.00425,0.094,0.915447
0.00475,0.094,0.915447
0.00475,0.098,0.915447
0.00525,0.098,0.915447
0.00525,0.102,0.915447
0.0055,0.102,0.915447
0.0055,0.104,0.915447
0.00575,0.104,0.915447
0.00575,0.108,0.915447
0.00625,0.108,0.915447
0.00625,0.111,0.915447
0.0065,0.111,0.915447
0.0065,0.118,0.915447
0.00675,0.118,0.915447
0.00675,0.12,0.915447
0.007,0.12,0.915447
0.007,0.122,0.915447
0.00725,0.122,0.915447
0.00725,0.125,0.915447
0.0075,0.125,0.915447
0.0075,0.126,0.915447
0.008,0.126,0.915447
0.008,0.134,0.915447
0.00825,0.134,0.915447
0.00825,0.136,0.915447
0.0085,0.136,0.915447
0.0085,0.137,0.915447
0.00875,0.137,0.915447
0.00875,0.14,0.915447
0.009,0.14,0.915447
0.009,0.144,0.915447
0.00925,0.144,0.915447
0.00925,0.147,0.915447
0.00975,0.147,0.915447
0.00975,0.149,0.915447
0.01,0.149,0.915447
0.01,0.153,0.915447
0.01025,0.153,0.915447
0.01025,0.156,0.915447
0.0105,0.156,0.915447
0.0105,0.158,0.915447
0.01075,0.158,0.915447
0.01075,0.159,0.915447
0.011,0.159,0.915447
0.011,0.161,0.915447
0.01125,0.161,0.915447
0.01125,0.164,0.915447
0.0115,0.164,0.915447
0.0115,0.167,0.915447
0.01175,0.167,0.915447
0.01175,0.169,0.915447
0.012,0.169,0.915447
0.012,0.174,0.915447
0.01225,0.174,0.915447
0.01225,0.177,0.915447
0.0125,0.177,0.915447
0.0125,0.178,0.915447
0.01275,0.178,0.915447
0.01275,0.184,0.915447
0.013,0.184,0.915447
0.013,0.19,0.915447
0.0135,0.19,0.915447
