FPR,TPR,AUC
0.0,0.0,0.990825
0.0,0.359,0.990825
0.0,0.437,0.990825
0.0,0.466,0.990825
0.0,0.508,0.990825
0.0,0.531,0.990825
0.0,0.539,0.990825
0.0,0.549,0.990825
0.0,0.557,0.990825
0.0,0.564,0.990825
0.0,0.566,0.990825
0.0,0.569,0.990825
0.0,0.579,0.990825
0.0,0.585,0.990825
0.0,0.586,0.990825
0.0,0.59,0.990825
0.0,0.595,0.990825
0.0,0.598,0.990825
0.0,0.6,0.990825
0.0,0.601,0.990825
0.0,0.604,0.990825
0.0,0.605,0.990825
0.00025,0.609,0.990825
0.00025,0.613,0.990825
0.00025,0.614,0.990825
0.00025,0.617,0.990825
0.00025,0.623,0.990825
0.00025,0.624,0.990825
0.00025,0.627,0.990825
0.00025,0.63,0.990825
0.0005,0.631,0.990825
0.0005,0.635,0.990825
0.0005,0.64,0.990825
0.0005,0.643,0.990825
0.0005,0.644,0.990825
0.0005,0.649,0.990825
0.0005,0.653,0.990825
0.0005,0.654,0.990825
0.00075,0.655,0.990825
0.00075,0.658,0.990825
0.00075,0.66,0.990825
0.00075,0.664,0.990825
0.00075,0.666,0.990825
0.00075,0.667,0.990825
0.00075,0.67,0.990825
0.00075,0.672,0.990825
0.00075,0.675,0.990825
0.00075,0.677,0.990825
0.001,0.677,0.990825
0.001,0.679,0.990825
0.001,0.684,0.990825
0.00125,0.684,0.990825
0.00125,0.686,0.990825
0.00125,0.693,0.990825
0.00125,0.695,0.990825
0.00125,0.696,0.990825
0.00125,0.699,0.990825
0.00125,0.7,0.990825
0.00125,0.702,0.990825
0.00125,0.71,0.990825
0.0015,0.71,0.990825
0.0015,0.717,0.990825
0.00175,0.717,0.990825
0.00175,0.726,0.990825
0.00175,0.728,0.990825
0.00175,0.732,0.990825
0.00175,0.734,0.990825
0.00175,0.766,0.990825
0.002,0.766,0.990825
0.00225,0.767,0.990825
0.00225,0.768,0.990825
0.00225,0.77,0.990825
0.00225,0.794,0.990825
0.0025,0.794,0.990825
0.0025,0.806,0.990825
0.003,0.806,0.990825
0.003,0.814,0.990825
0.00325,0.814,0.990825
0.00325,0.821,0.990825
0.0035,0.821,0.990825
0.0035,0.827,0.990825
0.00375,0.827,0.990825
0.00375,0.833,0.990825
0.004,0.833,0.990825
0.004,0.836,0.990825
0.0045,0.836,0.990825
0.0045,0.84,0.990825
0.00475,0.84,0.990825
0.00475,0.845,0.990825
0.005,0.845,0.990825
0.005,0.847,0.990825
0.0055,0.847,0.990825
0.0055,0.854,0.990825
0.00575,0.854,0.990825
0.00575,0.855,0.990825
0.006,0.855,0.990825
0.006,0.857,0.990825
0.00625,0.857,0.990825
0.0065,0.858,0.990825
0.00675,0.858,0.990825
0.00675,0.861,0.990825
0.0075,0.861,0.990825
0.0075,0.863,0.990825
0.008,0.863,0.990825
0.008,0.864,0.990825
0.0085,0.864,0.990825
0.0085,0.866,0.990825
0.00875,0.866,0.990825
0.00875,0.87,0.990825
0.009,0.87,0.990825
0.009,0.872,0.990825
0.00925,0.872,0.990825
0.00925,0.874,0.990825
0.01,0.874,0.990825
0.01,0.875,0.990825
0.01025,0.875,0.990825
0.01025,0.878,0.990825
0.0105,0.878,0.990825
0.0105,0.882,0.990825
0.01075,0.882,0.990825
0.01075,0.883,0.990825
0.01125,0.883,0.990825
0.01125,0.884,0.990825
0.0115,0.884,0.990825
0.0115,0.886,0.990825
0.01275,0.886,0.990825
0.01275,0.887,0.990825
0.01375,0.887,0.990825
0.01375,0.888,0.990825
0.01425,0.888,0.990825
0.01425,0.899,0.990825
0.01575,0.899,0.990825
0.01575,0.9,0.990825
0.01625,0.9,0.990825
0.01625,0.901,0.990825
0.0165,0.901,0.990825
0.0165,0.906,0.990825
0.01675,0.906,0.990825
0.01675,0.907,0.990825
0.017,0.907,0.990825
0.017,0.91,0.990825
0.01825,0.91,0.990825
0.01825,0.913,0.990825
0.01875,0.913,0.990825
0.01875,0.914,0.990825
0.0195,0.914,0.990825
0.0195,0.916,0.990825
0.02,0.916,0.990825
0.02,0.918,0.990825
0.021,0.918,0.990825
0.021,0.921,0.990825
0.02125,0.921,0.990825
0.02125,0.922,0.990825
0.02175,0.922,0.990825
0.02175,0.924,0.990825
0.02225,0.924,0.990825
0.02225,0.926,0.990825
0.02375,0.926,0.990825
0.02375,0.928,0.990825
0.024,0.928,0.990825
0.024,0.93,0.990825
0.02625,0.93,0.990825
0.02625,0.931,0.990825
0.027,0.931,0.990825
0.027,0.934,0.990825
0.0275,0.934,0.990825
0.0275,0.935,0.990825
0.03125,0.935,0.990825
0.03125,0.936,0.990825
0.0315,0.936,0.990825
0.0315,0.937,0.990825
0.032,0.937,0.990825
0.032,0.938,0.990825
0.03575,0.938,0.990825
0.03575,0.939,0.990825
0.03775,0.939,0.990825
0.03775,0.94,0.990825
0.04175,0.94,0.990825
0.04175,0.941,0.990825
0.04225,0.941,0.990825
0.04225,0.942,0.990825
0.04275,0.942,0.990825
0.04275,0.943,0.990825
0.0445,0.943,0.990825
0.0445,0.944,0.990825
0.045,0.944,0.990825
0.045,0.945,0.990825
0.047,0.945,0.990825
0.047,0.946,0.990825
0.04775,0.946,0.990825
0.04775,0.948,0.990825
0.05025,0.948,0.990825
0.05025,0.949,0.990825
0.053,0.949,0.990825
0.053,0.95,0.990825
0.05475,0.95,0.990825
0.05475,0.951,0.990825
0.057,0.951,0.990825
0.057,0.952,0.990825
0.06125,0.952,0.990825
0.06125,0.953,0.990825
0.06275,0.953,0.990825
0.06275,0.954,0.990825
0.06625,0.954,0.990825
0.06625,0.955,0.990825
0.0665,0.955,0.990825
0.0665,0.956,0.990825
0.0685,0.956,0.990825
0.0685,0.957,0.990825
0.06925,0.957,0.990825
0.06925,0.958,0.990825
0.07025,0.958,0.990825
0.07025,0.959,0.990825
0.07225,0.959,0.990825
0.07225,0.96,0.990825
0.07275,0.96,0.990825
0.07275,0.961,0.990825
0.07425,0.961,0.990825
0.07425,0.962,0.990825
0.0755,0.962,0.990825
0.0755,0.964,0.990825
0.07575,0.964,0.990825
0.07575,0.965,0.990825
0.07975,0.965,0.990825
0.07975,0.966,0.990825
0.08175,0.966,0.990825
0.08175,0.967,0.990825
0.08475,0.967,0.990825
0.08475,0.968,0.990825
0.0855,0.968,0.990825
0.0855,0.969,0.990825
0.0895,0.969,0.990825
0.0895,0.97,0.990825
0.0935,0.97,0.990825
0.0935,0.971,0.990825
0.1065,0.971,0.990825
0.1065,0.972,0.990825
0.1085,0.972,0.990825
0.1085,0.973,0.990825
0.114,0.973,0.990825
0.114,0.974,0.990825
0.11425,0.974,0.990825
0.11425,0.975,0.990825
0.11575,0.975,0.990825
0.11575,0.976,0.990825
0.1175,0.976,0.990825
0.1175,0.977,0.990825
0.12125,0.977,0.990825
0.12125,0.978,0.990825
0.12475,0.978,0.990825
0.12475,0.979,0.990825
0.1285,0.979,0.990825
0.1285,0.98,0.990825
0.1295,0.98,0.990825
0.1295,0.981,0.990825
0.1365,0.981,0.990825
0.1365,0.982,0.990825
0.154,0.982,0.990825
0.154,0.983,0.990825
0.1585,0.983,0.990825
0.1585,0.984,0.990825
0.163,0.984,0.990825
0.163,0.985,0.990825
0.16325,0.985,0.990825
0.16325,0.986,0.990825
0.17975,0.986,0.990825
0.17975,0.987,0.990825
0.18475,0.987,0.990825
0.18475,0.988,0.990825
0.18525,0.988,0.990825
0.18525,0.989,0.990825
0.18775,0.989,0.990825
0.18775,0.99,0.990825
0.1915,0.99,0.990825
0.1915,0.991,0.990825
0.20475,0.991,0.990825
0.20475,0.992,0.990825
0.2175,0.992,0.990825
0.2175,0.993,0.990825
0.22275,0.993,0.990825
0.22275,0.994,0.990825
0.22425,0.994,0.990825
0.22425,0.995,0.990825
0.22725,0.995,0.990825
0.22725,0.996,0.990825
0.24675,0.996,0.990825
0.24675,0.997,0.990825
0.36025,0.997,0.990825
0.36025,0.998,0.990825
0.374,0.998,0.990825
0.374,0.999,0.990825
0.38525,0.999,0.990825
0.38525,1.0,0.990825
1.0,1.0,0.990825
