FPR,TPR,AUC
0.0,0.0,0.562017
0.0,0.001,0.562017
0.0,0.002,0.562017
0.00025,0.002,0.562017
0.00025,0.007,0.562017
0.0005,0.007,0.562017
0.0005,0.01,0.562017
0.00075,0.01,0.562017
0.00075,0.011,0.562017
0.001,0.011,0.562017
0.001,0.012,0.562017
0.002,0.012,0.562017
0.002,0.013,0.562017
0.00225,0.013,0.562017
0.00225,0.014,0.562017
0.003,0.014,0.562017
0.003,0.016,0.562017
0.0035,0.016,0.562017
0.0035,0.018,0.562017
0.004,0.018,0.562017
0.004,0.019,0.562017
0.0045,0.019,0.562017
0.0045,0.02,0.562017
0.00475,0.02,0.562017
0.00475,0.021,0.562017
0.005,0.021,0.562017
0.005,0.022,0.562017
0.00525,0.022,0.562017
0.00525,0.026,0.562017
0.00725,0.026,0.562017
0.00725,0.027,0.562017
0.0075,0.027,0.562017
0.0075,0.028,0.562017
0.0105,0.028,0.562017
0.0105,0.029,0.562017
0.01125,0.029,0.562017
0.01125,0.034,0.562017
0.01225,0.034,0.562017
0.01225,0.036,0.562017
0.013,0.036,0.562017
0.013,0.038,0.562017
0.01325,0.038,0.562017
0.01325,0.039,0.562017
0.0145,0.039,0.562017
0.0145,0.04,0.562017
0.015,0.04,0.562017
0.015,0.041,0.562017
0.01525,0.041,0.562017
0.01525,0.042,0.562017
0.0155,0.042,0.562017
0.0155,0.044,0.562017
0.01575,0.044,0.562017
0.01575,0.045,0.562017
0.01625,0.045,0.562017
0.01625,0.046,0.562017
0.017,0.046,0.562017
0.017,0.047,0.562017
0.0185,0.047,0.562017
0.0185,0.048,0.562017
0.0195,0.048,0.562017
0.0195,0.049,0.562017
0.02025,0.049,0.562017
0.02025,0.05,0.562017
0.0215,0.05,0.562017
0.0215,0.051,0.562017
0.02475,0.051,0.562017
0.02475,0.052,0.562017
0.025,0.052,0.562017
0.025,0.053,0.562017
0.029,0.053,0.562017
0.029,0.055,0.562017
0.0295,0.055,0.562017
0.0295,0.056,0.562017
0.02975,0.056,0.562017
0.02975,0.057,0.562017
0.0305,0.057,0.562017
0.0305,0.058,0.562017
0.031,0.058,0.562017
0.031,0.059,0.562017
0.0315,0.059,0.562017
0.0315,0.06,0.562017
0.03425,0.06,0.562017
0.03425,0.062,0.562017
0.03575,0.062,0.562017
0.03575,0.063,0.562017
0.03825,0.063,0.562017
0.03825,0.064,0.562017
0.03875,0.064,0.562017
0.03875,0.065,0.562017
0.03925,0.065,0.562017
0.03925,0.066,0.562017
0.03975,0.066,0.562017
0.03975,0.067,0.562017
0.04175,0.067,0.562017
0.04175,0.07,0.562017
0.042,0.07,0.562017
0.042,0.071,0.562017
0.04225,0.071,0.562017
0.04225,0.072,0.562017
0.043,0.072,0.562017
0.043,0.073,0.562017
0.04575,0.073,0.562017
0.04575,0.074,0.562017
0.046,0.074,0.562017
0.046,0.075,0.562017
0.0465,0.075,0.562017
0.0465,0.076,0.562017
0.0505,0.076,0.562017
0.0505,0.077,0.562017
0.05075,0.077,0.562017
0.05075,0.078,0.562017
0.05275,0.078,0.562017
0.05275,0.079,0.562017
0.053,0.079,0.562017
0.053,0.08,0.562017
0.0535,0.08,0.562017
0.0535,0.081,0.562017
0.0565,0.081,0.562017
0.0565,0.082,0.562017
0.05675,0.082,0.562017
0.05675,0.083,0.562017
0.0575,0.083,0.562017
0.0575,0.084,0.562017
0.05775,0.084,0.562017
0.05775,0.085,0.562017
0.05975,0.085,0.562017
0.05975,0.087,0.562017
0.06075,0.087,0.562017
0.06075,0.088,0.562017
0.06175,0.088,0.562017
0.06175,0.089,0.562017
0.062,0.089,0.562017
0.062,0.09,0.562017
0.06225,0.09,0.562017
0.06225,0.091,0.562017
0.06525,0.091,0.562017
