FPR,TPR,AUC
0.0,0.0,0.73723125
0.00125,0.069,0.73723125
0.00125,0.076,0.73723125
0.00125,0.079,0.73723125
0.0015,0.08,0.73723125
0.002,0.084,0.73723125
0.00225,0.086,0.73723125
0.00225,0.089,0.73723125
0.00225,0.09,0.73723125
0.0025,0.091,0.73723125
0.0025,0.093,0.73723125
0.0025,0.095,0.73723125
0.0025,0.097,0.73723125
0.0025,0.098,0.73723125
0.0025,0.1,0.73723125
0.0025,0.106,0.73723125
0.00275,0.106,0.73723125
0.003,0.109,0.73723125
0.003,0.11,0.73723125
0.00325,0.111,0.73723125
0.00325,0.115,0.73723125
0.00325,0.117,0.73723125
0.00375,0.119,0.73723125
0.00375,0.12,0.73723125
0.004,0.12,0.73723125
0.004,0.125,0.73723125
0.00425,0.125,0.73723125
0.0045,0.127,0.73723125
0.00475,0.127,0.73723125
0.00475,0.13,0.73723125
0.005,0.13,0.73723125
0.0055,0.132,0.73723125
0.0055,0.136,0.73723125
0.00575,0.136,0.73723125
0.00575,0.137,0.73723125
0.006,0.137,0.73723125
0.006,0.138,0.73723125
0.00675,0.138,0.73723125
0.00675,0.143,0.73723125
0.007,0.143,0.73723125
0.007,0.144,0.73723125
0.00725,0.145,0.73723125
0.00725,0.146,0.73723125
0.00725,0.148,0.73723125
0.00725,0.15,0.73723125
0.0075,0.15,0.73723125
0.0075,0.152,0.73723125
0.00825,0.152,0.73723125
0.00825,0.154,0.73723125
0.0085,0.154,0.73723125
0.0085,0.156,0.73723125
0.00875,0.156,0.73723125
0.00875,0.157,0.73723125
0.009,0.157,0.73723125
0.009,0.163,0.73723125
0.00925,0.163,0.73723125
0.00925,0.164,0.73723125
0.0095,0.164,0.73723125
0.0095,0.169,0.73723125
0.00975,0.169,0.73723125
0.00975,0.17,0.73723125
0.00975,0.172,0.73723125
0.00975,0.173,0.73723125
0.01,0.173,0.73723125
0.01,0.175,0.73723125
0.01025,0.175,0.73723125
0.01025,0.181,0.73723125
0.01075,0.181,0.73723125
0.01075,0.184,0.73723125
0.011,0.184,0.73723125
0.011,0.191,0.73723125
0.01125,0.191,0.73723125
0.01125,0.192,0.73723125
0.01175,0.192,0.73723125
0.01175,0.194,0.73723125
0.01225,0.194,0.73723125
0.01225,0.195,0.73723125
0.01275,0.195,0.73723125
0.01275,0.196,0.73723125
0.01325,0.196,0.73723125
0.01325,0.197,0.73723125
0.01375,0.197,0.73723125
0.01375,0.199,0.73723125
0.014,0.199,0.73723125
0.014,0.204,0.73723125
0.01425,0.204,0.73723125
0.01425,0.208,0.73723125
0.0145,0.208,0.73723125
0.0145,0.209,0.73723125
0.01525,0.209,0.73723125
0.01525,0.211,0.73723125
0.01575,0.211,0.73723125
0.01575,0.212,0.73723125
0.016,0.212,0.73723125
0.016,0.215,0.73723125
0.0165,0.215,0.73723125
0.0165,0.216,0.73723125
0.017,0.216,0.73723125
0.017,0.219,0.73723125
0.0175,0.219,0.73723125
0.0175,0.22,0.73723125
0.0185,0.22,0.73723125
0.0185,0.222,0.73723125
0.01875,0.222,0.73723125
0.01875,0.223,0.73723125
0.01925,0.223,0.73723125
0.01925,0.224,0.73723125
0.01975,0.224,0.73723125
0.01975,0.228,0.73723125
0.02,0.228,0.73723125
0.02,0.229,0.73723125
0.02025,0.229,0.73723125
0.02025,0.23,0.73723125
0.02075,0.23,0.73723125
0.02075,0.231,0.73723125
0.021,0.231,0.73723125
0.021,0.232,0.73723125
0.022,0.232,0.73723125
0.022,0.236,0.73723125
0.02225,0.236,0.73723125
0.02225,0.237,0.73723125
0.0225,0.237,0.73723125
0.0225,0.24,0.73723125
0.02275,0.24,0.73723125
0.02275,0.244,0.73723125
0.023,0.244,0.73723125
0.023,0.248,0.73723125
0.02325,0.248,0.73723125
0.02325,0.252,0.73723125
0.0235,0.252,0.73723125
0.0235,0.253,0.73723125
0.02375,0.253,0.73723125
0.02375,0.255,0.73723125
0.02425,0.255,0.73723125
0.02425,0.257,0.73723125
0.0245,0.257,0.73723125
0.0245,0.258,0.73723125
0.02475,0.258,0.73723125
0.02475,0.259,0.73723125
0.025,0.259,0.73723125
0.025,0.262,0.73723125
0.02525,0.262,0.73723125
